Date,Name / Description,Expense/Income,Amount
07-14-2024,LYFT 855-280-0278 CA,Expense,20.88
07-14-2024,LYFT 855-280-0278 CA,Expense,23.99
07-14-2024,NETFLIX.COM 866-579-7172 CA,Expense,15.49
06-30-2024,AplPay LIME*PASS SAN FRANCISCO CA,Expense,8.68
06-28-2024,AplPay DELICA San Francisco CA,Expense,21.71
06-28-2024,AplPay SAINT FRANK CO San Francisco CA,Expense,8.6
06-28-2024,AplPay TRADER JOE'S SAN FRANCISCO CA,Expense,33.63
06-27-2024,AplPay BT*DD *DOORDASH SAN FRANCISCO CA,Expense,77.18
06-26-2024,AplPay TST* DELAH CO SAN FRANCISCO CA,Expense,15.33
06-26-2024,AplPay WALGREENS SAN FRANCISCO CA,Expense,30.83
06-25-2024,AplPay TARGET SAN FRANCISCO CA,Expense,27.12
06-24-2024,AplPay CAFFE CENTRO SAN FRANCISCO CA,Expense,18.59
06-24-2024,AplPay GOLDEN GOAT CO San Francisco CA,Expense,7
06-23-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,10.79
06-23-2024,AplPay SANAA CAFE SAN FRANCISCO CA,Expense,33.32
06-21-2024,AplPay SALUHALL SAN FRANCISCO CA,Expense,13.72
06-21-2024,AplPay SEPHORA SAN FRANCISCO CA,Expense,72.78
06-21-2024,AplPay TRADER JOE'S SAN FRANCISCO CA,Expense,30.66
06-20-2024,AplPay BT*DD *DOORDASH SAN FRANCISCO CA,Expense,41.87
06-20-2024,AplPay CAFFE CENTRAL SAN FRANCISCO CA,Expense,10.3
06-20-2024,AplPay TRADER JOE'S SAN FRANCISCO CA,Expense,23.63
06-19-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,21.58
06-19-2024,AplPay INTERNATIONAL 877-8144102 CA,Expense,36.15
06-17-2024,NAME-CHEAP.COM* BETG PHOENIX AZ,Expense,48
06-16-2024,DD *DOORDASH DASHPASS SAN FRANCISCO CA,Expense,9.99
06-14-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,8.63
06-14-2024,NETFLIX.COM 866-579-7172 CA,Expense,15.49
06-13-2024,AplPay EWR C1 GLOBAL NEWARK NJ,Expense,25.24
06-13-2024,AplPay SSP S.A. - AE MALAGA ES,Expense,09.06
06-13-2024,AplPay SUPERSKUNK AG MALAGA ES,Expense,27.12
06-13-2024,FARMERS INS BILLING 877-327-6392 CA,Expense,1075
05-26-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,21.58
05-17-2024,NAME-CHEAP.COM* FJVL PHOENIX AZ,Expense,48
05-16-2024,DD *DOORDASH DASHPASS SAN FRANCISCO CA,Expense,9.99
05-14-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,8.63
05-14-2024,NETFLIX.COM 866-579-7172 CA,Expense,15.49
07-12-2024,AplPay TRADER JOE'S SAN FRANCISCO CA,Expense,43.68
05-12-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,10.79
05-12-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,10.79
07-11-2024,SPOTIFY USA NEW YORK NY,Expense,13.07
06-11-2024,SPOTIFY USA NEW YORK NY,Expense,11.98
05-11-2024,SPOTIFY USA NEW YORK NY,Expense,11.98
07-10-2024,BOOK PASSAGE SAN FRANCISCO CA,Expense,49.97
07-10-2024,GRANDE CREPERIE SAN FRANCISCO CA,Expense,5.5
07-09-2024,AplPay COWORKING SAN FRANCISCO CA,Expense,4.22
07-09-2024,PAL ELECTRONICS 0000 SAN FRANCISCO CA,Expense,172.38
06-09-2024,AplPay PLUSHCARE 855 SAN FRANCISCO CA,Expense,129
07-08-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,9.99
07-08-2024,ROOSTER & RICE San Francisco CA,Expense,20.32
07-08-2024,SP MOJAVEFLEA TRADING PALM SPRINGS CA,Expense,30.97
07-08-2024,TST* A16 - FERRY BUI SAN FRANCISCO CA,Expense,5.43
06-08-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,-2.89
06-08-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,9.99
06-08-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,10.79
07-07-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,19.42
07-07-2024,AplPay TST* DELAH CO SAN FRANCISCO CA,Expense,32.28
07-07-2024,RENEWAL MEMBERSHIP FEE,Expense,150
07-07-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,19.42
07-07-2024,AplPay RASA RASA LLC San Francisco CA,Expense,47.8
07-07-2024,RENEWAL MEMBERSHIP FEE,Expense,150
05-07-2024,BH* BETTERHELP MOUNTAIN VIEW CA,Expense,360
05-07-2024,CREATOR NOW SANTA MONICA CA,Expense,149
07-06-2024,AplPay AMC 9640 ONLINE LEAWOOD KS,Expense,41.36
07-06-2024,GOOGLE *YOUTUBE MEMB G.CO/HELPPAY# CA,Expense,3.26
07-06-2024,AplPay AMC 9640 ONLINE LEAWOOD KS,Expense,41.36
07-06-2024,GOOGLE *YOUTUBE MEMB G.CO/HELPPAY# CA,Expense,3.26
06-06-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,2.99
07-05-2024,FD *CA DMV VFC *SVC SACRAMENTO CA,Expense,0.9
07-05-2024,FD *CA DMV VFC 0000 SACRAMENTO CA,Expense,45
07-05-2024,TARGET 027664 SAN FRANCISCO CA,Expense,1.49
07-05-2024,TST* CHEZ MAMAN 0004 SAN FRANCISCO CA,Expense,144.05
07-05-2024,FD *CA DMV VFC *SVC SACRAMENTO CA,Expense,0.9
07-05-2024,FD *CA DMV VFC 0000 SACRAMENTO CA,Expense,45
07-05-2024,TARGET 027664 SAN FRANCISCO CA,Expense,1.49
07-05-2024,TST* CHEZ MAMAN 0004 SAN FRANCISCO CA,Expense,144.05
07-04-2024,AplPay PIZZA TWIST SOL BERKELEY CA,Expense,33.48
07-04-2024,AplPay SOJUMO 0000 BERKELEY CA,Expense,24.71
07-04-2024,CINEPOLIS SAN MATEO SAN MATEO CA,Expense,16.25
07-04-2024,CINEPOLIS SAN MATEO SAN MATEO CA,Expense,37.8
07-04-2024,HULU 877-8244858 CA HULU.COM/BILL CA,Expense,9.99
07-04-2024,AplPay PIZZA TWIST SOL BERKELEY CA,Expense,33.48
07-04-2024,AplPay SOJUMO 0000 BERKELEY CA,Expense,24.71
07-04-2024,CINEPOLIS SAN MATEO SAN MATEO CA,Expense,16.25
07-04-2024,CINEPOLIS SAN MATEO SAN MATEO CA,Expense,37.8
07-04-2024,HULU 877-8244858 CA HULU.COM/BILL CA,Expense,9.99
06-04-2024,BH* BETTERHELP MOUNTAIN VIEW CA,Expense,360
06-04-2024,HULU 877-8244858 CA HULU.COM/BILL CA,Expense,9.99
07-03-2024,BH* BETTERHELP MOUNTAIN VIEW CA,Expense,360
07-03-2024,BH* BETTERHELP MOUNTAIN VIEW CA,Expense,360
07-02-2024,AplPay FEDEX OFFICE SAN FRANCISCO CA,Expense,31.66
07-02-2024,AplPay K.MINAMOTO SAN FRANCISCO CA,Expense,14.74
07-02-2024,AplPay SEPHORA EMBARCADERO SAN FRANCISCO CA,Expense,71.39
07-02-2024,AplPay TRADER JOE'S SAN FRANCISCO CA,Expense,26.03
07-02-2024,AplPay TST* SUNRIGHT BURLINGAME CA,Expense,13.05
07-02-2024,AplPay WALGREEN SAN FRANCISCO CA,Expense,54
07-02-2024,AplPay FEDEX OFFICE SAN FRANCISCO CA,Expense,31.66
07-02-2024,AplPay K.MINAMOTO SAN FRANCISCO CA,Expense,14.74
07-02-2024,AplPay SEPHORA EMBARCADERO SAN FRANCISCO CA,Expense,71.39
07-02-2024,AplPay TRADER JOE'S SAN FRANCISCO CA,Expense,26.03
07-02-2024,AplPay TST* SUNRIGHT BURLINGAME CA,Expense,13.05
07-02-2024,AplPay WALGREEN SAN FRANCISCO CA,Expense,54
06-02-2024,AplPay APPLE.COM/BILINTERNET CHARGE CA,Expense,8.63
08-01-2024,AplPay BT*DD *DOORDASH SAN FRANCISCO CA,Expense,55.63
08-01-2024,AplPay TRADER JOE'S SAN FRANCISCO CA,Expense,31.93
08-01-2024,LYFT 855-280-0278 CA,Expense,9.59
07-01-2024,AplPay JOE & THE JUICE BURLINGAME CA,Expense,13.37
07-01-2024,AplPay PIROO San Francisco CA,Expense,38.72
07-01-2024,RICHMOND NEW MAY WAH SAN FRANCISCO CA,Expense,160.51
